symbol,entry_time,exit_time,entry_price,exit_price,pnl,trade_type,exit_reason,,total amnt,tradable ammount,quantity bought,trade amount,absolute profit,exit amnt,charges
WIPRO,15-08-2024 09:15,16-08-2024 11:20,495.7,509.4,13.699999999999989,long,take_profit,,4622.261775,5000,50,4957,685,5642,27.7156
ICICIBANK,16-08-2024 11:25,16-08-2024 11:30,1171.9,1177.4,5.5,long,take_profit,,5279.546175,5000,21,4921.98,115.5,5037.48,27.14712
ICICIBANK,16-08-2024 11:35,16-08-2024 12:05,1180.1,1185,4.900000000000091,long,take_profit,,5367.899055,5000,21,4956.42,102.9,5059.32,27.328224
AXISBANK,16-08-2024 12:10,16-08-2024 12:15,1162.65,1160.7,-1.95,long,stop_loss,,5443.470831,5000,21,4883.13,-40.95,4842.18,26.830188
HDFCLIFE,16-08-2024 12:20,16-08-2024 12:30,687.25,685.15,-2.1,long,stop_loss,,5375.690643,5000,36,4948.2,-75.6,4872.6,27.165204
NESTLEIND,16-08-2024 12:35,16-08-2024 14:25,2502,2516.4,14.400000000000091,long,take_profit,,5272.925439,5000,9,4503.6,129.6,4633.2,24.855336
HCLTECH,16-08-2024 14:30,16-08-2024 15:25,1668.55,1669.35,0.7999999999999545,long,market_close,,5377.670103,5000,14,4671.94,11.2,4683.14,25.703062
POWERGRID,19-08-2024 11:20,19-08-2024 11:50,342.8,341.55,-1.25,long,stop_loss,,5363.167041,5000,72,4936.32,-90,4846.32,27.09036
CIPLA,19-08-2024 11:55,19-08-2024 13:10,1583,1579.55,-3.45,long,stop_loss,,5246.076681,5000,15,4749,-51.75,4697.25,26.085345
TATAMOTORS,19-08-2024 13:15,19-08-2024 13:25,1095.9,1093.7,-2.2,long,stop_loss,,5168.241336,5000,22,4821.96,-48.4,4773.56,26.488836
GRASIM,19-08-2024 14:10,20-08-2024 09:40,2590.8,2603.9,13.099999999999909,long,take_profit,,5093.3525,5000,9,4663.44,117.9,4781.34,25.726734
SBILIFE,20-08-2024 09:45,20-08-2024 11:30,1700.9,1720.65,19.75,long,take_profit,,5185.525766,5000,14,4762.52,276.5,5039.02,26.37635
INDUSINDBK,20-08-2024 11:45,20-08-2024 12:10,1388.5,1383.95,-4.55,long,stop_loss,,5435.649416,5000,18,4998.6,-81.9,4916.7,27.438246
TECHM,20-08-2024 12:20,20-08-2024 14:10,1618.45,1631.9,13.450000000000045,long,take_profit,,5326.31117,5000,15,4855.35,201.75,5057.1,26.83758
